Timestamp,DISPATCH PRICE (5MIN /MWh),DEMAND (5MIN MW)
2020/09/04  10:05,$59.60,"4,998.85"
2020/09/04  10:10,$52.06,"7,696.18"
2020/09/04  10:15,$49.62,"4,958.62"
2020/09/04  10:20,$37.41,"4,891.94"
2020/09/04  10:25,$33.27,"4,858.62"
2020/09/04  10:33,$44.77,"7,616.26"
2020/09/04  10:40,$44.77,"4,792.25"
2020/09/04  10:46,$30.26,"4,697.87"
2020/09/04  10:51,$44.77,"4,725.99"
2020/09/04  10:56,$22.75,"4,694.45"
2020/09/04  11:01,$10.87,"4,603.66"
2020/09/04  11:06,$8.95,"4,489.23"
2020/09/04  11:11,$8.95,"4,452.42"
2020/09/04  11:17,$9.18,"4,530.52"
2020/09/04  11:22,$8.95,"4,528.59"
2020/09/04  11:27,-$9.15,"4,410.23"
2020/09/04  11:32,$17.23,"4,393.09"
2020/09/04  11:37,$21.74,"4,381.38"
2020/09/04  11:42,$9.19,"4,416.36"
2020/09/04  11:47
2020/09/04  11:53
2020/09/04  11:58,$31.12,"4,435.03"
2020/09/04  12:03,$16.10,"4,507.41"
2020/09/04  12:08,$9.19,"4,416.95"
2020/09/04  12:13,$5.34,"4,461.32"
2020/09/04  12:18,$9.19,"4,474.34"
2020/09/04  12:23,$0.18,"4,450.49"
2020/09/04  12:29,$0.16,"4,374.05"
2020/09/04  12:34,$0.42,"4,387.38"
2020/09/04  12:39,$39.74,"7,565.69"
2020/09/04  12:44,$2.89,"4,357.45"
2020/09/04  12:49,$6.69,"4,447.43"
2020/09/04  12:54,$6.35,"4,376.64"
2020/09/04  12:59,$8.95,"4,321.31"
2020/09/04  13:05,$38.67,"7,527.74"
2020/09/04  13:10,$9.19,"4,399.01"
2020/09/04  13:15,$6.17,"4,335.13"
2020/09/04  13:21
2020/09/04  13:26,$5.39,"4,339.07"
2020/09/04  13:31,$8.90,"4,376.60"
2020/09/04  13:36,$9.18,"4,428.85"
2020/09/04  13:41,$9.18,"4,458.07"
2020/09/04  13:46,$9.19,"4,487.71"
2020/09/04  13:51,$9.19,"4,536.72"
2020/09/04  13:57,$9.19,"4,522.61"
2020/09/04  14:02,$8.95,"4,457.96"
2020/09/04  14:07,$6.05,"4,444.55"
2020/09/04  14:12,$6.55,"4,478.48"
2020/09/04  14:17,$9.18,"4,501.48"
2020/09/04  14:22,$8.95,"4,460.78"
2020/09/04  14:28,$9.18,"4,440.11"
2020/09/04  14:33,$9.19,"4,402.22"
2020/09/04  14:38,$19.41,"4,404.16"
2020/09/04  14:43,$9.18,"4,376.94"
2020/09/04  14:48,$40.11,"7,619.94"
2020/09/04  14:53,-$0.92,"4,133.08"
2020/09/04  14:59,$9.19,"4,277.81"
2020/09/04  15:04,$9.19,"4,276.77"
2020/09/04  15:09,$13.50,"4,182.68"
2020/09/04  15:14,$46.06,"7,561.55"
2020/09/04  15:19
2020/09/04  15:20,$46.06,"7,561.55"
2020/09/07  14:08,$33.38,"6,575.25"
2020/09/07  14:13,$10.93,"3,538.59"
2020/09/07  14:18,$17.48,"3,529.98"
2020/09/07  14:23,$33.38,"6,575.25"
2020/09/07  14:28,-$35.26,"3,567.14"
2020/09/07  14:34,$34.97,"6,659.93"
2020/09/07  14:39,$13.73,"3,605.63"
2020/09/07  14:44,$23.35,"3,585.99"
2020/09/07  14:49,$26.50,"3,608.17"
2020/09/07  14:54,$0.00,"3,637.13"
2020/09/07  14:59,$9.19,"3,664.02"
2020/09/07  15:04,$17.29,"3,632.63"
2020/09/07  15:09,,
2020/09/07  15:15,$0.00,"3,692.64"
2020/09/07  15:20,$11.20,"3,739.31"
2020/09/07  15:25,$13.41,"3,780.65"
2020/09/07  15:30,$29.00,"3,813.08"
2020/09/07  15:35,$7.75,"3,828.18"
2020/09/07  15:40,$17.12,"3,880.32"
2020/09/07  15:45,$8.95,"3,913.76"
2020/09/07  15:50,$19.50,"3,970.94"
2020/09/07  15:56,$32.11,"4,004.20"
2020/09/07  16:01,$29.09,"4,027.31"
2020/09/07  16:06,$29.44,"4,064.99"
2020/09/07  16:11,$29.54,"4,141.44"
2020/09/07  16:16,$29.59,"4,172.93"
2020/09/07  16:21,$30.01,"4,234.48"
2020/09/07  16:26,$33.07,"4,328.30"
2020/09/07  16:31,$24.74,"4,395.33"
2020/09/07  16:37,$20.90,"4,382.59"
2020/09/07  16:42,$33.72,"4,479.57"
2020/09/07  16:47,$34.84,"4,527.13"
2020/09/07  16:52,$52.46,"4,600.30"
2020/09/07  16:57,$70.00,"4,636.62"
2020/09/07  17:02,$37.04,"4,718.28"
2020/09/07  17:07,$30.78,"4,755.77"
2020/09/07  17:12
2020/09/07  17:18,$47.95,"7,983.08"
2020/09/07  17:23,$41.00,"4,893.38"
2020/09/07  17:28,$39.77,"4,999.00"
2020/09/07  17:33,$39.80,"8,425.74"
2020/09/07  17:39,$32.29,"5,037.14"
2020/09/16  09:42,$9.18,"4,502.88"
2020/09/16  09:46,$0.00,"4,455.00"
2020/09/16  09:52,$0.00,"4,414.51"
2020/09/16  09:57,$9.18,"4,380.96"
2020/09/16  10:02,$15.80,"6,755.88"
2020/09/16  10:07,$0.00,"4,218.24"
2020/09/16  10:12,$0.00,"4,148.98"
2020/09/16  10:17,$0.00,"4,119.08"
2020/09/16  10:23,-$36.71,"4,054.52"
2020/09/16  10:28,$14.52,"4,072.53"
2020/09/16  10:33,$2.72,"6,667.50"
2020/09/16  10:38,-$40.02,"3,977.54"
2020/09/16  10:43,$29.49,"4,039.31"
2020/09/16  10:48,-$6.02,"4,010.14"
2020/09/16  10:53,-$3.43,"4,018.24"
2020/09/16  10:59,-$20.00,"3,994.13"
2020/09/16  11:04,$17.20,"3,950.49"
2020/09/16  11:09,$0.00,"3,933.46"
2020/09/16  11:14
2020/09/16  11:19,$9.77,"3,935.11"
2020/09/16  11:24,-$37.00,"3,866.57"
2020/09/16  11:30,-$37.00,"3,916.13"
2020/09/16  11:35,-$37.00,"3,910.87"
2020/09/16  11:40,$24.09,"3,939.80"
2020/09/16  11:45,$6.27,"3,922.79"
2020/09/16  11:50,$10.86,"6,547.99"
2020/09/16  11:55,-$37.00,"3,898.39"
2020/09/16  12:00,-$37.00,"3,882.78"
2020/09/16  12:06,$14.52,"3,905.48"
2020/09/16  12:11,-$20.00,"4,018.11"
2020/09/16  12:16,$9.19,"3,993.08"
2020/09/16  12:21,$14.38,"6,547.87"
2020/09/16  12:26,$14.25,"3,972.88"
2020/09/16  12:31,-$42.09,"3,962.48"
2020/09/16  12:37,$9.19,"3,951.70"
2020/09/16  12:42,$0.64,"3,959.14"
2020/09/16  12:47,-$40.02,"3,879.60"
2020/09/16  12:52,$17.94,"6,560.01"
2020/09/16  12:57,$9.19,"3,867.56"
2020/09/16  13:02,$14.66,"6,539.15"
2020/09/16  13:08,$9.17,"3,868.19"
2020/09/16  13:13,-$12.40,"3,913.75"
2020/09/16  13:18,$14.66,"6,539.15"
2020/09/16  13:23,$22.47,"3,967.27"
2020/09/16  13:28,$11.35,"3,904.89"
2020/09/16  13:34,$28.14,"3,913.88"
2020/09/16  13:39,$28.38,"3,917.59"
2020/09/16  13:44,$31.59,"4,051.66"
2020/09/16  13:49,$32.01,"4,014.49"
2020/09/16  13:54,$22.55,"6,603.17"
2020/09/16  13:59,$29.03,"4,118.72"
2020/09/16  14:04,$28.70,"4,121.86"
2020/09/16  14:10,$30.80,"4,185.74"
2020/09/16  14:15,$30.80,"4,217.42"
2020/09/16  14:20,$30.80,"4,199.53"
2020/09/16  14:25,$43.93,"4,203.35"
2020/09/16  14:30,,
2020/09/16  14:35,$40.79,"4,309.77"
2020/09/16  14:41,$44.04,"4,311.39"
2020/09/16  14:46,$55.50,"4,371.01"
2020/09/16  14:51,$48.95,"4,428.41"
2020/09/16  14:56,$45.72,"4,453.87"
2020/09/16  15:01,$44.38,"4,476.20"
2020/09/16  15:06,$37.00,"4,468.25"
2020/09/16  15:11,$35.65,"4,457.28"
2020/09/16  15:17,$45.77,"6,816.35"
2020/09/16  15:22,$55.50,"4,621.59"
2020/09/16  15:27,$43.05,"6,954.66"
2020/09/16  15:32,$53.90,"4,684.50"
2020/09/16  15:37,$42.81,"4,709.50"
2020/09/16  15:42,$39.09,"4,719.25"
2020/09/17  08:24,$40.56,"5,201.71"
2020/09/17  08:29,$30.80,"5,255.24"
2020/09/17  08:34,$9.99,"5,272.32"
2020/09/17  08:40
2020/09/17  08:45
2020/09/17  08:50,$30.80,"5,229.27"
2020/09/17  08:55,$30.80,"5,193.70"
2020/09/17  09:00,$32.66,"5,234.51"
2020/09/17  09:05,$32.03,"5,184.72"
2020/09/17  09:11,$37.67,"5,217.34"
2020/09/17  09:16,$31.18,"5,128.88"
2020/09/17  09:21,$30.80,"5,097.47"
2020/09/17  09:26,$30.80,"5,011.85"
2020/09/17  09:32
2020/09/17  09:37,$30.80,"4,978.19"
2020/09/17  09:42
2020/09/17  09:47,$30.80,"4,949.47"
2020/09/17  09:52,$30.35,"4,974.10"
2020/09/17  09:57,$30.35,"4,949.82"
2020/09/17  10:03,$30.80,"4,960.00"
2020/09/17  10:08
2020/09/17  10:13,$30.32,"4,880.05"
2020/09/17  10:18,$10.07,"4,863.32"
2020/09/17  10:23,$31.64,"4,874.52"
2020/09/17  10:28,$55.50,"4,903.19"
2020/09/17  10:34,$30.80,"4,838.20"
2020/09/17  10:39,$32.53,"4,935.52"
2020/09/17  10:44,$9.99,"4,933.78"
2020/09/17  10:49,$9.19,"4,935.85"
2020/09/17  10:58
2020/09/17  11:03,$32.57,"4,897.07"
2020/09/17  11:08,$31.88,"4,946.98"
2020/09/17  11:13,$26.97,"6,610.42"
2020/09/17  11:19,$30.80,"4,950.46"
2020/09/17  11:24,$30.80,"4,937.66"
2020/09/17  11:29,$28.45,"6,607.92"
2020/09/17  11:34,$30.80,"4,904.46"
2020/09/17  11:39,$30.80,"4,868.46"
2020/09/17  11:44,$9.18,"4,840.29"
2020/09/17  11:50,$9.19,"4,832.04"
2020/09/17  11:55,$30.80,"4,813.20"
2020/09/17  12:00,$44.49,"4,823.36"
2020/09/17  12:05,$30.80,"4,888.11"
2020/09/17  12:10,$12.14,"4,899.85"
2020/09/17  12:15,$25.55,"4,834.70"
2020/09/17  12:21,$12.42,"4,809.13"
2020/09/17  12:26,$30.99,"4,823.81"
2020/09/17  12:31,$20.84,"6,584.05"
2020/09/17  12:36,$9.18,"4,740.25"
2020/09/17  12:41,$9.24,"4,753.17"
2020/09/17  12:46,$30.80,"4,795.32"
2020/09/17  12:52,$29.85,"4,788.03"
2020/09/17  12:57,$29.14,"4,797.67"
2020/09/17  13:02,$30.80,"4,847.82"
2020/09/17  13:08,$30.80,"4,878.39"
2020/09/17  13:13
2020/09/17  13:18,$30.80,"4,823.14"
2020/09/17  13:23,$30.80,"4,785.73"
2020/09/17  13:28,$31.87,"4,811.62"
2020/09/17  13:33,$30.80,"4,804.77"
2020/09/17  13:39
2020/09/17  13:44,$44.72,"4,825.75"
2020/09/17  13:49,$35.92,"4,842.33"
2020/09/17  13:54,$29.69,"4,828.92"
2020/09/17  13:59,$29.00,"4,802.89"
2020/09/17  14:04,$9.80,"4,691.89"
2020/09/17  14:10,$28.21,"4,715.74"
2020/09/17  14:15,$0.69,"4,748.85"
2020/09/17  14:20,$11.35,"4,756.82"
2020/09/17  14:25,$40.39,"6,985.11"
2020/09/17  14:30,$6.09,"4,695.79"
2020/09/17  14:35,$15.31,"4,750.90"
2020/09/17  14:41,$49.82,"7,211.30"
2020/09/17  14:46,$10.10,"4,702.23"
2020/09/17  14:51,$49.82,"7,211.30"
2020/09/17  14:56
2020/09/17  15:01,$40.48,"7,421.90"
2020/09/17  15:06,$37.28,"4,824.01"
2020/09/18  12:43,$37.04,"4,625.79"
2020/09/18  12:48,$39.15,"7,659.16"
2020/09/18  12:53,$36.91,"4,658.99"
2020/09/18  12:58,$36.46,"4,628.86"
2020/09/18  13:03,$36.58,"4,624.33"
2020/09/18  13:09,$36.98,"4,671.76"
2020/09/18  13:14,$36.89,"4,674.45"
2020/09/18  13:19,$27.76,"4,546.49"
2020/09/18  13:24,$55.50,"4,527.92"
2020/09/18  13:29,$55.50,"4,574.40"
2020/09/18  13:34,$36.28,"4,476.18"
2020/09/18  13:40,$42.45,"7,533.84"
2020/09/18  13:45,$42.45,"4,541.71"
2020/09/18  13:45,$35.30,"4,541.71"
2020/09/18  13:46,$31.48,"4,524.42"
2020/09/18  13:46,$31.48,"4,524.42"
2020/09/18  13:46
2020/09/18  13:46,$31.48,"4,524.42"
2020/09/18  13:47,$31.48,"4,524.42"
2020/09/18  13:47,$31.48,"4,524.42"
2020/09/18  13:47,$31.48,"4,524.42"
2020/09/18  13:47,$31.48,"4,524.42"
2020/09/18  13:47,$31.48,"4,524.42"
2020/09/18  13:47,$31.48,"4,524.42"
2020/09/18  13:48,$31.48,"4,524.42"
2020/09/18  13:48,$31.48,"4,524.42"
2020/09/18  13:48,,
2020/09/18  13:48,$31.48,"4,524.42"
2020/09/18  13:48,$31.48,"4,524.42"
2020/09/18  13:48,$31.48,"4,524.42"
2020/09/18  13:49,$31.48,"4,524.42"
2020/09/18  13:49,$42.45,"7,533.84"
2020/09/18  13:49,$31.48,"4,524.42"
2020/09/18  13:49,$31.48,"4,524.42"
2020/09/18  13:49,$31.48,"4,524.42"
2020/09/18  13:49,$31.48,"4,524.42"
2020/09/18  13:50,$31.48,"4,524.42"
2020/09/18  13:50,$31.48,"4,524.42"
2020/09/18  13:50,$42.45,"7,533.84"
2020/09/18  13:50,$31.48,"4,524.42"
2020/09/18  13:50,$31.48,"4,524.42"
2020/09/18  13:51,$31.48,"4,524.42"
2020/10/16  09:05
